date,operation_type,store_code,department,quantity
4/28/2021,SALE,400000035918,Dep2,2
4/28/2021,SALE,400000036113,Dep2,1
4/28/2021,SALE,400000006451,Dep5,3
4/28/2021,SALE,400000032078,Dep2,1
4/28/2021,SALE,400000034997,Dep1,1
4/28/2021,SALE,400000030081,Dep2,1
4/28/2021,SALE,400000036311,Dep9,1
4/28/2021,SALE,400000038131,Dep2,1
4/27/2021,SALE,400000014128,Dep1,1
4/27/2021,SALE,400000038100,Dep2,1
4/27/2021,SALE,400000021270,Dep12,1
4/27/2021,SALE,400000002682,Dep5,1
4/27/2021,SALE,400000019192,Dep1,1
4/27/2021,SALE,400000035574,Dep2,1
4/27/2021,SALE,400000034935,Dep2,1
4/27/2021,SALE,400000031392,Dep10,2
4/27/2021,SALE,400000021294,Dep1,1
4/27/2021,SALE,400000036731,Dep20,3
4/27/2021,SALE,400000029528,Dep1,1
4/27/2021,SALE,400000034942,Dep2,1
4/27/2021,SALE,400000016481,Dep12,1
4/27/2021,SALE,400000009384,Dep1,1
4/27/2021,SALE,400000036403,Dep2,1
4/27/2021,SALE,400000028583,Dep12,1
4/27/2021,SALE,400000018713,Dep1,1
4/27/2021,SALE,400000032818,Dep2,1
4/27/2021,SALE,400000034904,Dep2,1
4/27/2021,SALE,400000030869,Dep2,1
4/27/2021,SALE,400000030999,Dep2,1
4/27/2021,SALE,400000033273,Dep15,1
4/27/2021,SALE,400000034942,Dep2,1
4/27/2021,SALE,400000035284,Dep2,1
4/27/2021,SALE,400000014128,Dep1,1
4/27/2021,SALE,400000030869,Dep2,1
4/27/2021,SALE,400000029597,Dep2,2
4/27/2021,SALE,400000036656,Dep2,2
4/27/2021,SALE,400000024455,Dep1,3
4/27/2021,SALE,400000026008,Dep5,1
4/27/2021,SALE,400000031866,Dep2,1
4/27/2021,SALE,400000036212,Dep2,1
4/27/2021,SALE,400000035123,Dep2,1
4/27/2021,SALE,400000038124,Dep2,1
4/27/2021,SALE,400000031859,Dep2,1
4/27/2021,SALE,400000035284,Dep2,1
4/27/2021,SALE,400000035659,Dep2,1
4/27/2021,SALE,400000038131,Dep2,1
4/27/2021,SALE,400000025025,Dep2,1
4/27/2021,SALE,400000032948,Dep9,1
